Date,Value
1997-01-31,296.554657
1997-02-28,297.617817
1997-03-31,291.055454
1997-04-30,308.749731
1997-05-30,324.87897
1997-06-30,343.130795
1997-07-31,369.199898
1997-08-29,339.034464
1997-09-30,366.170002
1997-10-31,347.398798
1997-11-28,354.233338
1997-12-31,363.614742
1998-01-30,374.092866
1998-02-27,398.703615
1998-03-31,425.467824
1998-04-30,435.406487
1998-05-29,435.813532
1998-06-30,452.582544
1998-07-31,470.932425
1998-08-31,398.56773
1998-09-30,396.538753
1998-10-30,425.6976
1998-11-30,456.10923
1998-12-31,499.875129
1999-01-29,523.570088
1999-02-26,504.1366
1999-03-31,520.142216
1999-04-30,517.115095
1999-05-31,500.896656
1999-06-30,538.026923
1999-07-30,536.28646
1999-08-31,534.362518
1999-09-30,537.341022
1999-10-29,573.508791
1999-11-30,615.95271
1999-12-31,727.891925
2000-01-31,682.240837
2000-02-29,738.744581
2000-03-31,765.900452
2000-04-28,711.076019
2000-05-31,657.308522
2000-06-30,694.250394
2000-07-31,666.20555
2000-08-31,706.807506
2000-09-29,628.983576
2000-10-31,592.678747
2000-11-30,571.477628
2000-12-29,590.306783
2001-01-31,564.230291
2001-02-28,537.093926
2001-03-30,506.527026
2001-04-30,530.650718
2001-05-31,530.114543
2001-06-29,521.722868
2001-07-31,514.689458
2001-08-31,507.234726
2001-09-28,464.116868
2001-10-31,452.573096
2001-11-30,462.206736
2001-12-31,469.522678
2002-01-31,465.733652
2002-02-28,464.681367
2002-03-29,484.337702
2002-04-30,483.482774
2002-05-31,489.120878
2002-06-28,470.423149
2002-07-31,440.457163
2002-08-30,442.533282
2002-09-30,421.550284
2002-10-31,419.29797
2002-11-29,416.271926
2002-12-31,401.997292
2003-01-31,390.90716
2003-02-28,389.194215
2003-03-31,390.340381
2003-04-30,416.453881
2003-05-30,435.598735
2003-06-30,439.73481
2003-07-31,445.975943
2003-08-29,452.219997
2003-09-30,457.257862
2003-10-31,483.767773
2003-11-28,489.474813
2003-12-31,506.167334
2004-01-30,511.9427
2004-02-27,522.14417
2004-03-31,542.408144
2004-04-30,524.48073
2004-05-31,530.201797
2004-06-30,547.048402
2004-07-30,524.306656
2004-08-31,531.175838
2004-09-30,548.569346
2004-10-29,558.562722
2004-11-30,599.792048
2004-12-31,613.968807
2005-01-31,606.557684
2005-02-28,655.53905
2005-03-31,641.483279
2005-04-29,614.865836
2005-05-31,633.490621
2005-06-30,660.841393
2005-07-29,689.795556
2005-08-31,711.773876
2005-09-30,746.898495
2005-10-31,716.239056
2005-11-30,741.036095
2005-12-30,788.036755
2006-01-31,847.77289
2006-02-28,827.914642
2006-03-31,857.158452
2006-04-28,887.082962
2006-05-31,834.58855
2006-06-30,829.895836
2006-07-31,826.388483
2006-08-31,829.090104
2006-09-29,824.105566
2006-10-31,874.547662
2006-11-30,907.864752
2006-12-29,938.338074
2007-01-31,954.249887
2007-02-28,952.215904
2007-03-30,982.51257
2007-04-30,1019.957943
2007-05-31,1053.97028
2007-06-29,1047.50927
2007-07-31,1043.429711
2007-08-31,1030.950228
2007-09-28,1114.007034
2007-10-31,1164.851445
2007-11-30,1115.428998
2007-12-31,1125.128367
2008-01-31,1006.423302
2008-02-29,1025.422683
2008-03-31,1012.052056
2008-04-30,1080.240079
2008-05-30,1112.199497
2008-06-30,1093.347522
2008-07-31,1003.751961
2008-08-29,979.651561
2008-09-30,816.252482
2008-10-31,705.144195
2008-11-28,656.526386
2008-12-31,675.969673
2009-01-30,616.922442
2009-02-27,553.588093
2009-03-31,584.120244
2009-04-30,609.279775
2009-05-29,642.218632
2009-06-30,636.057501
2009-07-31,688.216106
2009-08-31,701.677777
2009-09-30,732.826322
2009-10-30,723.595999
2009-11-30,754.351885
2009-12-31,775.74037
2010-01-29,725.230996
2010-02-26,745.488626
2010-03-31,798.946734
2010-04-30,809.580125
2010-05-31,736.482482
2010-06-30,708.416475
2010-07-30,764.939575
2010-08-31,730.829124
2010-09-30,816.178884
2010-10-29,852.975419
2010-11-30,857.037016
2010-12-31,904.082014
2011-01-31,910.876773
2011-02-28,944.581702
2011-03-31,956.728998
2011-04-29,1007.045846
2011-05-31,990.847837
2011-06-30,982.732149
2011-07-29,969.675231
2011-08-31,916.304226
2011-09-30,874.536256
2011-10-31,932.660024
2011-11-30,932.908783
2011-12-30,947.360142
2012-01-31,960.970398
2012-02-29,1004.895195
2012-03-30,1037.496494
2012-04-30,1047.048495
2012-05-31,1000
2012-06-29,1041.79169
2012-07-31,1061.925893
2012-08-31,1076.930796
2012-09-28,1101.472452
2012-10-31,1078.14492
2012-11-30,1091.274014
2012-12-31,1087.436824
2013-01-31,1133.023331
2013-02-28,1151.02685
2013-03-29,1199.239051
2013-04-30,1237.201192
2013-05-31,1222.345619
2013-06-28,1228.428769
2013-07-31,1269.394472
2013-08-30,1232.694156
2013-09-30,1308.334249
2013-10-31,1347.087892
2013-11-29,1377.269656
2013-12-31,1416.725444
2014-01-31,1377.771676
2014-02-28,1457.036651
2014-03-31,1416.398092
2014-04-30,1400.659472
2014-05-30,1451.699192
2014-06-30,1483.302459
2014-07-31,1453.574778
2014-08-29,1500.070497
2014-09-30,1470.526392
2014-10-31,1483.265952
2014-11-28,1531.156565
2014-12-31,1516.35341
2015-01-30,1513.756419
2015-02-27,1593.119499
2015-03-31,1580.307812
2015-04-30,1585.692537
2015-05-29,1617.470963
2015-06-30,1591.587365
2015-07-31,1643.31186
2015-08-31,1534.980159
2015-09-30,1479.230369
2015-10-30,1581.785407
2015-11-30,1584.354076
2015-12-31,1585.190944
2016-01-29,1517.250816
2016-02-29,1498.076155
2016-03-31,1581.357921
2016-04-29,1584.658359
2016-05-31,1617.578843
2016-06-30,1663.00044
2016-07-29,1709.323637
2016-08-31,1663.481376
2016-09-30,1676.128377
2016-10-31,1626.688416
2016-11-30,1635.231318
2016-12-30,1660.444618
2017-01-31,1720.149248
2017-02-28,1761.743487
2017-03-31,1800.042847
2017-04-28,1834.471723
2017-05-31,1913.053175
2017-06-30,1918.063212
2017-07-31,1977.675485
2017-08-31,2007.341728
2017-09-29,2059.074837
2017-10-31,2153.425318
2017-11-30,2194.59296
2017-12-29,2201.584202
2018-01-31,2379.547179
2018-02-28,2341.872515
2018-03-30,2266.0816
2018-04-30,2290.368507
2018-05-31,2356.861947
2018-06-29,2348.921198
2018-07-31,2401.652991
2018-08-31,2510.907987
2018-09-28,2535.773952
2018-10-31,2285.907631
2018-11-30,2319.540153
2018-12-31,2149.186203
2019-01-31,2286.987596
2019-02-28,2371.963865
2019-03-29,2434.710485
2019-04-30,2514.186435
2019-05-31,2424.427605
2019-06-28,2578.546729
2019-07-31,2605.239515
2019-08-30,2607.869916
2019-09-30,2587.449678
2019-10-31,2620.138757
2019-11-29,2689.152088
2019-12-31,2756.554474
2020-01-31,2829.846735
2020-02-28,2627.557116
2020-03-31,2360.748236
2020-04-30,2603.597978
2020-05-29,2754.719359
2020-06-30,2882.640709
2020-07-31,3075.384566
2020-08-31,3313.857976
2020-09-30,3207.757508
2020-10-30,3094.249713
2020-11-30,3400.611856
2020-12-31,3547.817832
2021-01-29,3577.28642
2021-02-26,3555.003806
2021-03-31,3564.575648
2021-04-30,3807.391293
2021-05-31,3768.729707
2021-06-30,3812.449927
2021-07-30,3876.319063
2021-08-31,4000.51027
2021-09-30,3853.08978
2021-10-29,4144.331113
2021-11-30,4018.428271
2021-12-31,4078.249937
2022-01-31,3763.414805
2022-02-28,3683.1673
2022-03-31,3848.596112
2022-04-29,3413.399586
2022-05-31,3410.586872
2022-06-30,3156.471821
2022-07-29,3295.785459
2022-08-31,3213.269129
2022-09-30,2979.586934
2022-10-31,3277.194523
2022-11-30,3453.871434
2022-12-30,3371.033131
2023-01-31,3408.094698
2023-02-28,3299.76348
2023-03-31,3331.858554
2023-04-28,3429.001934
2023-05-31,3265.111512
2023-06-30,3476.460797
2023-07-31,3561.157499
2023-08-31,3516.458887
2023-09-29,3373.458852
2023-10-31,3313.28561
2023-11-30,3622.561232
2023-12-29,3783.848668
2024-01-31,3995.515481
2024-02-29,4356.972436
2024-03-29,4548.473302
2024-04-30,4364.51118
2024-05-31,4612.867505
2024-06-28,4779.569745
2024-07-31,4724.044628
2024-08-30,4839.447148
2024-09-30,4925.864139
2024-10-31,4869.261037
2024-11-29,5071.409745
2024-12-31,4940.135578
2025-01-31,5178.53518
